source_id,title,publisher,publication_date,source_type,authority_level,is_primary,url,supports_summary,limitations,current_status
SRC-17,Early mixed farming and sedentism in Northeast China,PLOS ONE,2019-06-26T00:00:00,peer_reviewed,A2,True,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0218751,约7.9千年前定居/植物利用与兴隆洼聚落实例,具体遗址样本不可代表整个东北,active
SRC-18,小河沿文化,中国大百科全书,,reference,B1,False,https://www.zgbk.com/ecph/words?Name=%E5%B0%8F%E6%B2%B3%E6%B2%BF%E6%96%87%E5%8C%96&SiteID=1,小河沿文化年代与分布,与红山宽年代存在重叠，不作瞬时接替,active
SRC-19,红山文化考古发现与研究史,中国社会科学网,2022-10-24T00:00:00,academic_history,B1,False,https://www.cssn.cn/lsx/lsx_kgx/202210/t20221024_5552755.shtml,1906—1956调查、发掘与命名史,早期族属与年代判断已被修正,active
SRC-20,Regional human activity and environmental change in the Yan-Liao region,Journal of Geographical Sciences,2019-01-01T00:00:00,peer_reviewed,A2,True,https://link.springer.com/article/10.1007/s11442-019-1609-y,燕辽区域遗址数量、密度与复杂度模型,区域模型不能替代单遗址结论,active
TECH-01,Progressive Web Apps,MDN,,technical_docs,A1,True,https://developer.mozilla.org/en-US/docs/Web/Progressive_web_apps,PWA能力与最佳实践,技术文档会更新,active
TECH-02,Making PWAs installable,MDN,,technical_docs,A1,True,https://developer.mozilla.org/en-US/docs/Web/Progressive_web_apps/Guides/Making_PWAs_installable,安装条件与平台差异,安装不等于离线,active
TECH-03,Service workers,web.dev,,technical_docs,A1,True,https://web.dev/learn/pwa/service-workers,缓存、离线和首次访问边界,需主动配置缓存策略,active
TECH-04,WebXR Device API,MDN,,technical_docs,A1,True,https://developer.mozilla.org/en-US/docs/Web/API/WebXR_Device_API,WebXR有限可用、实验性、HTTPS,兼容性快速变化,active
TECH-05,Augmented Reality,model-viewer,,technical_docs,A1,True,https://modelviewer.dev/examples/augmentedreality/,WebXR/Scene Viewer/Quick Look与降级,原生查看器不保留复杂网页UI,active
TECH-06,WebXR requirements,Google ARCore,,technical_docs,A1,True,https://developers.google.com/ar/develop/webxr/requirements,Android WebAR设备要求,模拟器不支持,active
TECH-07,Full Stack FastAPI Template,FastAPI,,technical_docs,A1,True,https://fastapi.tiangolo.com/project-generation/,React+FastAPI全栈架构参考,非本项目直接模板要求,active
TECH-08,Appropriate Uses For SQLite,SQLite,,technical_docs,A1,True,https://www.sqlite.org/whentouse.html,SQLite适用范围与并发边界,高并发/多实例需迁移,active
