claim_id,entity_id,topic,claim_text_full,safe_copy_cn,range_min,range_max,unit,measurement_scope,evidence_class,confidence,claim_status,required_qualifier,forbidden_rephrasing,source_id,last_verified_at
CLM-015,NHL-CEM,无玉墓,29座无玉由66−37计算得出，是衍生值。,29座无玉｜衍生值：66−37,29,,座,66墓专题样本,OBS,B2,current,衍生值,来源直接写明29座,SRC-10,2026-07-14T00:00:00
CLM-016,NHL-L16-M04,代表墓,N16M4被研究者视为目前所知红山文化晚期规格最高的石棺墓之一。,N16M4｜规格判断，不等同身份认定,,,,研究比较,INF,B2,current,被研究者视为；目前所知,国王墓；巫王墓,SRC-10,2026-07-14T00:00:00
CLM-017,NHL-L02-Z01-M21,代表墓,N2Z1M21出土玉器20件，是已知单墓玉器数量最多实例。,N2Z1M21｜单墓玉器20件｜数量最多,20,,件,单墓随葬玉器,OBS,B2,current,已知；数量维度,规格最高墓,SRC-10,2026-07-14T00:00:00
CLM-018,NHL-SURVEY,调查面积,截至2026年3月系统调查31.076平方公里。,系统调查｜31.076km²,31.076,,km²,系统性区域考古调查,OBS,A2,current,截至2026-03,整个遗址面积31.076km²,SRC-01,2026-07-14T00:00:00
CLM-019,NHL-SURVEY,网格,调查使用50米×50米网格。,调查方法｜50m × 50m网格,50,,m,网格边长,OBS,A2,current,,所有遗迹都按此网格建造,SRC-01,2026-07-14T00:00:00
CLM-020,NHL-SURVEY,发现网格,518个网格发现红山文化陶片。,518个网格｜发现红山陶片,518,,个,已调查网格中的发现单元,OBS,A2,current,发现陶片,518处遗址,SRC-01,2026-07-14T00:00:00
CLM-021,NHL-SURVEY,陶片,调查采集日用陶片1599片、筒形器陶片598片。,1599片日用陶片｜598片筒形器陶片,1599,598,片,2026-03报道的调查样本,OBS,A2,current,调查采集,遗址总出土数量,SRC-01,2026-07-14T00:00:00
CLM-022,NHL-SURVEY,聚落群,调查将发现划分为5个聚落群。,最新调查｜5个聚落群,5,,个,调查分析单元,SYN,A2,current,划分为,5座城市,SRC-01,2026-07-14T00:00:00
CLM-023,NHL-SURVEY,勘探与遗址点,约50平方公里内累计勘探110万平方米；报道称遗址由16处增至65处，49处为近年新发现。,50km²范围｜110万m²勘探｜65处、49处近年新发现,65,49,处,约50km²保护区报道口径,SYN,A2,current,报道称；截至报道,各年份遗址点数可直接相加,SRC-01,2026-07-14T00:00:00
CLM-024,NHL-SG,空间认知,最新区域调查提示生活活动与礼仪活动的空间关系可能比过去认识更复杂。,新证据提示｜礼仪与生活空间关系更复杂,,,,2026区域调查综合判断,SYN,A2,preliminary,提示；可能,已证实完整城市或都城,SRC-01,2026-07-14T00:00:00
CLM-025,NHL-L13,发掘面积,2025年发掘第十三地点1000平方米。,第十三地点｜2025发掘1000m²,1000,,m²,2025年度发掘区,OBS,A2,current,年度,建筑面积仅1000m²,SRC-01,2026-07-14T00:00:00
CLM-026,NHL-L13,高度,从顶部至积石基础约7.5米。,第十三地点｜顶部至积石基础约7.5m,7.5,,m,顶部至基础,OBS,A2,current,约,完整原高就是7.5米,SRC-01,2026-07-14T00:00:00
CLM-027,NHL-L13,建筑面积,整体建筑面积约1万平方米。,"第十三地点｜整体约10,000m²",10000,,m²,当前公开整体估算,OBS,A2,current,约,中国最大祭坛已证实,SRC-01,2026-07-14T00:00:00
CLM-028,NHL-L13,性质,圆形土石混筑大型建筑，目前初步判断为独立大型祭坛。,大型土石建筑｜初步判断为独立大型祭坛,,,,当前性质判断,SYN,A2,preliminary,目前初步判断,东方金字塔；已证实中国最大祭坛,SRC-01,2026-07-14T00:00:00
CLM-029,NHL-JADE,检测数据库,已完成300多件玉器样本检测，相关数据库正在汇集和完善。,300+玉器样本检测｜数据库建设中,300,,件以上,阶段性检测样本,SYN,A2,preliminary,已完成…样本；建设中,全球数据库已完全开放,SRC-01,2026-07-14T00:00:00
CLM-030,NHL-SG,保护条例,修订后的保护条例自2026年1月1日起施行，鼓励数字化保护、展示和传播。,2026-01-01施行｜鼓励数字化保护与传播,2026,,年,条例施行,OBS,A1,current,,所有影像可自由使用,SRC-12,2026-07-14T00:00:00
HIS-001,HS-CULTURE,年代与分布,中国大百科全书将红山文化概括为约公元前4700—前2900年，主要分布于内蒙古东南部西拉木伦河流域、辽西和冀东北。,红山文化｜约前4700—前2900年（百科口径）,4700,2900,BCE,百科综合口径,SYN,B1,current,约；百科口径,唯一无争议的起止年代,SRC-15,2026-07-14T00:00:00
HIS-002,HS-RITUAL,礼仪中心年代,碳十四大样本研究将牛河梁、东山嘴大型礼仪中心主要年代置于约5800—5300 cal BP。,大型礼仪中心｜约5800—5300 cal BP,5800,5300,cal BP,碳十四概率与遗址活动,SYN,A2,current,约；主要年代,红山文化诞生于精确5800年前,SRC-16,2026-07-14T00:00:00
HIS-003,LX-EARLY,早期定居,阜新地区两个单次占用遗址显示，约7.9千年前已有定居和植物栽培的早期证据。,约7.9千年前｜早期定居与植物利用实例,7900,,cal BP,两个具体遗址样本,OBS,A2,current,约；实例,整个东北已进入成熟农业,SRC-17,2026-07-14T00:00:00
HIS-004,XLW,聚落实例,兴隆洼阶段存在约5公顷、最多约40座居住建筑的大型村落实例。,兴隆洼阶段｜约5ha、最多约40座建筑的实例,5,40,ha/座,区域性大型村落实例,OBS,A2,current,约；实例,所有兴隆洼聚落均同规模,SRC-17,2026-07-14T00:00:00
HIS-005,LX-SEQUENCE,碳十四序列,627个碳十四数据的活动概率曲线显示兴隆洼、赵宝沟、红山、小河沿等存在多个活动高峰。,627个碳十四数据｜多个活动高峰,627,,个测年,区域概率模型,SYN,A2,current,概率高峰,高峰就是完整文化边界,SRC-16,2026-07-14T00:00:00
HIS-006,XHY,年代与分布,中国大百科全书将小河沿文化概括为约公元前3500—前2900年，分布于西拉木伦河流域至燕山东段。,小河沿文化｜约前3500—前2900年（百科口径）,3500,2900,BCE,百科综合口径,SYN,B1,current,约；百科口径,与红山瞬间无缝接替,SRC-18,2026-07-14T00:00:00
HIS-007,HS-TRANSITION,转型,研究认为大型礼仪中心约5300 cal BP后式微，但小型居住聚落仍延续数百年。,约5300 cal BP后｜礼仪中心式微，聚落仍延续,5300,,cal BP,区域活动概率与聚落资料,INF,A2,current,研究认为；约,红山人突然消失,SRC-16,2026-07-14T00:00:00
HIS-008,HS-SUBSIST,生业,区域生业由黍作、养猪、狩猎采集等共同构成，并随时期和地点变化。,复合生业｜黍作、养猪、狩猎采集并存,,,,区域生业综合,SYN,A2,current,各地各期比例不同,成熟单一农业国家,SRC-16,2026-07-14T00:00:00
HIS-009,HS-HISTORY,调查史,鸟居龙藏于1906—1908年间在赤峰红山一带开展调查。,1906—1908｜赤峰红山调查,1906,1908,年,学术史节点,OBS,B1,current,,采用其早期族属判断,SRC-19,2026-07-14T00:00:00
HIS-010,HS-HISTORY,发掘史,安特生1921年发掘沙锅屯洞穴，材料中包含后来被辨认为红山文化的陶片和石器。,1921｜沙锅屯发掘含后来辨认的红山材料,1921,,年,学术史节点,OBS,B1,current,后来被辨认,当时已经命名红山文化,SRC-19,2026-07-14T00:00:00
HIS-011,HS-HISTORY,发掘史,1935年红山后遗址被发掘，1938年出版《赤峰红山后》并提出赤峰一期、二期概念。,1935发掘｜1938《赤峰红山后》,1935,1938,年,学术史节点,OBS,B1,current,当时年代判断后来修正,沿用全部早期年代判断,SRC-19,2026-07-14T00:00:00
HIS-012,HS-HISTORY,命名史,尹达于1954年正式使用“红山文化”名称。,1954｜“红山文化”正式命名,1954,,年,考古学命名史,OBS,B1,current,考古学名称,红山人自称红山文化,SRC-19,2026-07-14T00:00:00
HIS-013,HS-HISTORY,调查史,1956年北京大学等开展赤峰调查，进一步厘清红山材料与仰韶及后续文化的关系。,1956｜赤峰调查推进文化关系研究,1956,,年,学术史节点,SYN,B1,current,进一步厘清,文化关系从此完全定论,SRC-19,2026-07-14T00:00:00
HIS-014,NHL-SG,发现史,2013年UNESCO申报文本记载：1981年辽宁第二次文物普查在牛河梁发现并编号16个地点。,1981｜发现并编号16个地点（2013文本）,16,,处,2013申报文本的工作史,OBS,B2,current,申报文本记载,2026仍只有16处,SRC-11,2026-07-14T00:00:00
HIS-015,NHL-SG,发掘史,主要发掘在1983—2003年涉及第2、3、5、16地点，三卷本考古报告于2012年出版。,1983—2003发掘｜2012三卷本报告,1983,2012,年,考古工作时间线,OBS,B1,current,主要；涉及,期间只发掘这些地点,SRC-19,2026-07-14T00:00:00
HIS-016,NHL-SG,地形,牛河梁地处山地河谷环境，许多地点位于山脊或丘顶，海拔约550—680米。,山地河谷｜约海拔550—680m,550,680,m,遗址群地形概述,OBS,B2,current,约；许多地点,地形直接证明宗教规划,SRC-11,2026-07-14T00:00:00
HIS-017,WJWP,聚落,UNESCO申报文本称魏家窝铺遗址约9.3万平方米，2009—2011年发掘发现103座半地穴房址、201处窖穴及祭祀坑和沟壕。,魏家窝铺｜约9.3万m²、103房址、201窖穴等,93000,201,m²/处,2013申报文本综合,OBS,B2,current,申报文本术语,所有红山聚落都同规模,SRC-11,2026-07-14T00:00:00
HIS-018,YL-REGION,区域复杂化,区域大样本研究显示红山阶段遗址数量和密度增长，聚落与生业复杂度有所提高。,红山阶段｜区域遗址密度与复杂度提高,,,,燕辽区域模型,SYN,A2,current,区域研究显示,替代单个遗址结论,SRC-20,2026-07-14T00:00:00
HIS-019,LN-SURVEY,区域调查,2017年以来辽宁重点区域调查发现红山文化遗迹840余处，其中730多处为新发现。,2017年以来｜840+遗迹、730+新发现,840,730,处,截至2026-03阶段统计,OBS,A2,current,余；多；截至报道,最终固定总数,SRC-01,2026-07-14T00:00:00
HIS-020,NHL-SG,旧认识,2013年申遗文本称牛河梁约50平方公里范围内尚未发现居住聚落，祭祀中心与居住区分离。,2013认识｜尚未发现居住聚落，祭祀与居住分离,50,,km²,2013申报认识,SYN,B2,superseded,2013文本；尚未发现,牛河梁至今无人居住,SRC-11,2026-07-14T00:00:00
