asset_id,tier,category,filename,title,creator,institution,license_or_rights,use_status,production_rule,landing_page,direct_url,license_url,attribution,dimensions,sha256,downloaded_at,recommended_screen,fact_boundary,local_relative_path,web_ready_relative_path
A011,open_license,artifacts_sites,A011_pig_dragon_british_museum.jpg,约公元前3500年红山文化玉猪龙（大英博物馆陈列）,Vassil,British Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:British_Museum_Chinese_jade_Neolithic_period_Hongshan_culture_Coiled_dragon_Pig-dragon_11022019_1393.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/British_Museum_Chinese_jade_Neolithic_period_Hongshan_culture_Coiled_dragon_Pig-dragon_11022019_1393.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Vassil / Wikimedia Commons, CC0",2021×1770,e42ecdcc15ca6e1d357fe4069f975d22f0e349dc9564e6d948fbb72d91edf4b6,2026-07-14T08:35:41+00:00,猪龙多馆藏对照；器形比较拖拽,文件页说明为红山文化、约公元前3500年；不可标注为牛河梁出土。,01_open_license/artifacts_sites/A011_pig_dragon_british_museum.jpg,05_web_ready/artifacts_sites/A011_pig_dragon_british_museum.webp
A012,open_license,artifacts_sites,A012_pottery_vessels_liaoning_museum.jpg,红山文化深腹陶器（辽宁省博物馆史前展厅）,"Gary Lee Todd, Ph.D.",Liaoning Provincial Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_Pottery_01.jpg,https://live.staticflickr.com/7457/14153711532_3da16b129e_o.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Lee Todd / Wikimedia Commons, CC0",5184×3456,09156c7b4f25ee36e3c41a1d779b91336ee1235eb831f514ce4657ecf1853b45,2026-07-14T08:30:56+00:00,生产生活章节；陶器图鉴；器表细节放大,拍摄于辽宁省博物馆史前展厅；画面为两件展陈陶器，不应推定为同一遗迹单位的共伴组合。原始像素文件由 Commons 落地页所列 Flickr 来源下载。,01_open_license/artifacts_sites/A012_pottery_vessels_liaoning_museum.jpg,05_web_ready/artifacts_sites/A012_pottery_vessels_liaoning_museum.webp
A013,open_license,artifacts_sites,A013_painted_pottery_inner_mongolia_museum.jpg,红山文化彩陶（内蒙古博物院陈列）,Gary Todd,Inner Mongolia Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_Painted_Pottery_(19817345241).jpg,https://live.staticflickr.com/507/19817345241_f5eef807e6_o.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",5184×3456,625c3ec6417af34288826afef8f85035cc6b69d29e1c82d8aaac20ddfc8ae0c9,2026-07-14T08:30:08+00:00,陶器纹样章节；旋转观察；色彩取样,馆藏陈列摄影；具体出土地未在文件页说明。原始像素文件由 Commons 落地页所列 Flickr 来源下载；Commons 版本为3689×3099裁切图，本包保留5184×3456来源原图。,01_open_license/artifacts_sites/A013_painted_pottery_inner_mongolia_museum.jpg,05_web_ready/artifacts_sites/A013_painted_pottery_inner_mongolia_museum.webp
A014,open_license,artifacts_sites,A014_pregnant_female_torso_national_museum_china.jpg,红山文化孕妇陶塑（辽宁，1982年发现；中国国家博物馆陈列）,Prof. Gary Lee Todd,National Museum of China,CC BY-SA 4.0,可用于参赛；必须署名、链接许可；图片改编版须同许可,allow_with_manifest_conditions,"https://commons.wikimedia.org/wiki/File:Neolithic_pottery_pregnant_woman,_Hongshan_Culture,_Liaoning,_1982.JPG",https://upload.wikimedia.org/wikipedia/commons/c/c5/Neolithic_pottery_pregnant_woman%2C_Hongshan_Culture%2C_Liaoning%2C_1982.JPG,https://creativecommons.org/licenses/by-sa/4.0/,"Photo: Prof. Gary Lee Todd, CC BY-SA 4.0, via Wikimedia Commons",1000×1138,e87972c9abf9586c07a102eb929e67a5859f3f43f220edf7e1d9a8ab4ae7488f,2026-07-14T08:35:50+00:00,女性形象证据章节；小尺寸资料卡,文件页称公元前3500年、辽宁1982年发现、高7.8厘米。它不是牛河梁女神庙泥塑头像，严禁互换命名。,01_open_license/artifacts_sites/A014_pregnant_female_torso_national_museum_china.jpg,05_web_ready/artifacts_sites/A014_pregnant_female_torso_national_museum_china.webp
A015,open_license,artifacts_sites,A015_four_lug_jar_met.jpg,红山文化红陶四系罐（大都会艺术博物馆）,The Metropolitan Museum of Art,The Metropolitan Museum of Art,CC0 1.0,可用于参赛；法律上无需署名，建议保留馆名与编号,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:%E6%96%B0%E7%9F%B3%E5%99%A8%E6%99%82%E4%BB%A3%E7%B4%85%E5%B1%B1%E6%96%87%E5%8C%96_%E7%B4%85%E9%99%B6%E5%9B%9B%E7%B9%AB%E7%BD%90-Jar_with_Four_Lugs_(Guan)_MET_2003_333_S1.jpeg,https://images.metmuseum.org/CRDImages/as/original/2003_333_S1.JPG,https://creativecommons.org/publicdomain/zero/1.0/,"The Metropolitan Museum of Art, CC0",670×799,1171ae464821de6bfcf1c8422a5fc4c1884ca6791d061232904adde925ec87fd,2026-07-14T08:29:26+00:00,陶器图鉴；低分辨率资料卡,大都会开放获取图，馆藏编号 2003.333、Object ID 65596；原图像素较低，不建议做满屏主视觉。,01_open_license/artifacts_sites/A015_four_lug_jar_met.jpg,05_web_ready/artifacts_sites/A015_four_lug_jar_met.webp
A016,open_license,artifacts_sites,A016_neolithic_tomb_display_liaoning_museum.jpg,辽宁省博物馆史前墓葬复原陈列,"Gary Lee Todd, Ph.D.",Liaoning Provincial Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Neolithic_Tomb_Liaoning.jpg,https://live.staticflickr.com/7355/13969884058_594892c23c_o.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Lee Todd / Wikimedia Commons, CC0",3456×5184,9473bc1fe46368c880828464b1cfccb2c112ed524a7dac140e3768f49ff946be,2026-07-14T08:29:31+00:00,墓葬结构章节；复原与实物证据区分,这是辽宁省博物馆的史前墓葬展陈／复原，不是牛河梁野外发掘现场照；界面必须标‘复原陈列’。原始像素文件由 Commons 落地页所列 Flickr 来源下载。,01_open_license/artifacts_sites/A016_neolithic_tomb_display_liaoning_museum.jpg,05_web_ready/artifacts_sites/A016_neolithic_tomb_display_liaoning_museum.webp
A017,open_license,artifacts_sites,A017_stone_tools_liaoning_museum.jpg,红山文化石器组合（辽宁省博物馆史前展厅）,"Gary Lee Todd, Ph.D.",Liaoning Provincial Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_Stone_Tools_01.jpg,https://live.staticflickr.com/5474/14156665084_470eaa6f3f_o.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Lee Todd / Wikimedia Commons, CC0",5184×3456,bdb012d97a762fb38e6f8b0286ec61e8d082e56c624dcbc24a466d8dace4b252,2026-07-14T08:29:35+00:00,生产生活章节；工具用途分类交互,馆藏展陈组合；不要把多件器物写成同一遗迹单位出土。原始像素文件由 Commons 落地页所列 Flickr 来源下载。,01_open_license/artifacts_sites/A017_stone_tools_liaoning_museum.jpg,05_web_ready/artifacts_sites/A017_stone_tools_liaoning_museum.webp
A018,open_license,artifacts_sites,A018_hongshan_site_chifeng_01.jpg,赤峰红山遗址群实景（一）,10geeker,Wiki Loves Monuments / Wikimedia Commons,CC BY-SA 3.0,可用于参赛；必须署名、链接许可；图片改编版须同许可,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:%E7%BA%A2%E5%B1%B1%E9%81%97%E5%9D%80%E7%BE%A4.JPG,https://upload.wikimedia.org/wikipedia/commons/d/df/%E7%BA%A2%E5%B1%B1%E9%81%97%E5%9D%80%E7%BE%A4.JPG,https://creativecommons.org/licenses/by-sa/3.0/,"Photo: 10geeker, CC BY-SA 3.0, via Wikimedia Commons",5184×3888,38fa12f4b2557f0103f8b1972ea446944e500c34933890cb303bf7bc031ecf27,2026-07-14T08:36:01+00:00,发现史章节；红山文化命名地；遗址环境,此图是内蒙古赤峰红山遗址群，不是辽宁牛河梁遗址；文件页归入 Hongshan Sites 与 Wiki Loves Monuments，但画面主要呈现红色山体，不能解读为可见考古遗迹或发掘现场。,01_open_license/artifacts_sites/A018_hongshan_site_chifeng_01.jpg,05_web_ready/artifacts_sites/A018_hongshan_site_chifeng_01.webp
A019,open_license,artifacts_sites,A019_hongshan_site_chifeng_02.jpg,赤峰红山遗址群实景（二）,10geeker,Wiki Loves Monuments / Wikimedia Commons,CC BY-SA 3.0,可用于参赛；必须署名、链接许可；图片改编版须同许可,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:%E7%BA%A2%E5%B1%B1%E9%81%97%E5%9D%80%E7%BE%A42.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d3/%E7%BA%A2%E5%B1%B1%E9%81%97%E5%9D%80%E7%BE%A42.JPG,https://creativecommons.org/licenses/by-sa/3.0/,"Photo: 10geeker, CC BY-SA 3.0, via Wikimedia Commons",5184×3888,a89a72fd422bbbc259945b52faf2d62fa14cb855bfab8a3670e3cd3a5f38626e,2026-07-14T08:36:09+00:00,发现史章节；地貌对照；红山命名地,此图是内蒙古赤峰红山遗址群，不是辽宁牛河梁遗址；画面含现代屋顶与红色山体，只能作为命名地／环境图，不能作为考古遗迹细部或发掘现场图。,01_open_license/artifacts_sites/A019_hongshan_site_chifeng_02.jpg,05_web_ready/artifacts_sites/A019_hongshan_site_chifeng_02.webp
A020,open_license,artifacts_sites,A020_hongshan_culture_museum_chifeng.jpg,赤峰红山文化博物馆实景,StefanTsingtauer,Chifeng Hongshan Culture Museum,CC BY-SA 4.0,可用于参赛；必须署名、链接许可；图片改编版须同许可,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:%E8%B5%A4%E5%B3%B0%E7%BA%A2%E5%B1%B1%E6%96%87%E5%8C%96%E5%8D%9A%E7%89%A9%E9%A6%86_2021-07-09.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/%E8%B5%A4%E5%B3%B0%E7%BA%A2%E5%B1%B1%E6%96%87%E5%8C%96%E5%8D%9A%E7%89%A9%E9%A6%86_2021-07-09.jpg,https://creativecommons.org/licenses/by-sa/4.0/,"Photo: StefanTsingtauer, CC BY-SA 4.0, via Wikimedia Commons",4032×3024,cb3385082c213adb3793cf070aca3568a353a719791c03c6924ebd0e7e0551a7,2026-07-14T08:36:14+00:00,当代保护与传播章节；机构索引,拍摄对象为赤峰红山文化博物馆外观，不是牛河梁遗址博物馆。,01_open_license/artifacts_sites/A020_hongshan_culture_museum_chifeng.jpg,05_web_ready/artifacts_sites/A020_hongshan_culture_museum_chifeng.webp
A021,open_license,artifacts_sites,A021_jade_plaque_met.jpg,红山文化玉牌（大都会艺术博物馆）,The Metropolitan Museum of Art,The Metropolitan Museum of Art,CC0 1.0,可用于参赛；法律上无需署名，建议保留馆名、编号与开放获取说明,allow_with_manifest_conditions,https://www.metmuseum.org/art/collection/search/75244,https://images.metmuseum.org/CRDImages/as/original/DP210602.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"The Metropolitan Museum of Art, Open Access (CC0)",4000×3001,6df43357b13f87cad64cf1991f5167bbd3e7837f50e30e68a3ab0b9f61f53d97,2026-07-14T08:33:02+00:00,玉器图鉴；高清细节；国际馆藏对照,"Met Object ID 75244，馆藏编号2009.176，软玉，高7.3厘米、宽9.8厘米；馆方period字段为‘Neolithic period, Hongshan culture (ca. 3500–2000 BCE)’且未列出土地点，必须保留馆方口径，不可写成牛河梁出土。许可政策：https://www.metmuseum.org/policies/image-resources 。",01_open_license/artifacts_sites/A021_jade_plaque_met.jpg,05_web_ready/artifacts_sites/A021_jade_plaque_met.webp
MAP_DATA_001,open_license,maps_data,NE1_50M_SR.zip,Natural Earth I with Shaded Relief 1:50m,Tom Patterson; Nathaniel Vaughn Kelso; Natural Earth contributors,Natural Earth,Public Domain,可用于二次制图；不要直接把全球图当成辽西专题图,allow_with_manifest_conditions,https://www.naturalearthdata.com/downloads/50m-raster-data/50m-natural-earth-1/,https://naturalearth.s3.amazonaws.com/50m_raster/NE1_50M_SR.zip,https://www.naturalearthdata.com/about/terms-of-use/,Made with Natural Earth.,10800x5400 TIFF inside ZIP,ae930744c0cf3d10e73c292726b74c81a40490a75829f8299dec9069e5d0e934,2026-07-14T08:36:59Z,文明长卷/空间总览,文件位于 maps_data/；应裁切辽西—西辽河区域并叠加自制河流与遗址标记；许可无需署名但建议保留 Made with Natural Earth,01_open_license/maps_environment_methods/maps_data/NE1_50M_SR.zip,
MAP_DATA_002,open_license,maps_data,ne_10m_admin_1_states_provinces.zip,Natural Earth Admin-1 States and Provinces 1:10m,Natural Earth contributors,Natural Earth,Public Domain,可用于原创SVG底图；只表示现代行政区而非史前文化边界,allow_with_manifest_conditions,https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/,https://naturalearth.s3.amazonaws.com/10m_cultural/ne_10m_admin_1_states_provinces.zip,https://www.naturalearthdata.com/about/terms-of-use/,Made with Natural Earth.,Shapefile v5.1.1,efc59726337323058f9446210adc96673179cd344e053666ee3d28cb58ba2b05,2026-07-14T08:36:59Z,中国→辽宁→辽西定位图,文件位于 maps_data/；文化分布必须另画不确定性边界；不要让现代省界替代红山文化范围,01_open_license/maps_environment_methods/maps_data/ne_10m_admin_1_states_provinces.zip,
MAP_DATA_003,open_license,maps_data,ne_10m_rivers_lake_centerlines.zip,Natural Earth Rivers and Lake Centerlines 1:10m,Natural Earth contributors,Natural Earth,Public Domain,可用于区域级河网；不适合作遗址级精细水系,allow_with_manifest_conditions,https://www.naturalearthdata.com/downloads/10m-physical-vectors/10m-rivers-lake-centerlines/,https://naturalearth.s3.amazonaws.com/10m_physical/ne_10m_rivers_lake_centerlines.zip,https://www.naturalearthdata.com/about/terms-of-use/,Made with Natural Earth.,Shapefile v5.0.0,ded71b01870855ccfe19b51f2ec14c9bb48fae23c0e9f3c11974d426433b5c38,2026-07-14T08:36:59Z,辽河—西辽河—大凌河空间关系,文件位于 maps_data/；1:10m 数据会省略小支流；应用官方坐标与地方水文资料复核后再标注,01_open_license/maps_environment_methods/maps_data/ne_10m_rivers_lake_centerlines.zip,
MAP_ENV_001,open_license,environment,MAP_ENV_001_Dalai_Nur_Landsat_NASA.jpeg,Dali Nur Landsat image 2000,NASA and Earthsat,NASA; Earthsat,Public domain (NASA/Earthsat),可直接用于区域环境章节；必须说明为达里诺尔区域而非牛河梁遗址,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Dalai_nur.jpeg,https://upload.wikimedia.org/wikipedia/commons/3/33/Dalai_nur.jpeg,https://www.nasa.gov/nasa-brand-center/images-and-media/,NASA and Earthsat; Landsat tile N-50-40-2000.,2672x2592,0d1c85c2af700b68efe2db0dbe8e38cd5a186d9e365a2e1556cd8ee0dd52ee3f,2026-07-14T08:36:59Z,文明长卷/环境与地貌,影像年份2000；NASA内容应署名且不得暗示NASA认可本作品；不含NASA标识,01_open_license/maps_environment_methods/environment/MAP_ENV_001_Dalai_Nur_Landsat_NASA.jpeg,05_web_ready/maps_environment_methods/environment/MAP_ENV_001_Dalai_Nur_Landsat_NASA.webp
MAP_ENV_002,open_license,environment,MAP_ENV_002_Dali_Nur_Lake_Shore.jpg,Dali Nur Lake Shore 2011,rheins,Wikimedia Commons; Panoramio archive,CC BY 3.0,可直接用于区域环境叙事；需署名,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:%E8%BE%BE%E9%87%8C%E8%AF%BA%E5%B0%94%E6%B9%96%E7%95%94_-_Dali_Nur_Lake_Shore_-_2011.06_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/%E8%BE%BE%E9%87%8C%E8%AF%BA%E5%B0%94%E6%B9%96%E7%95%94_-_Dali_Nur_Lake_Shore_-_2011.06_-_panoramio.jpg,https://creativecommons.org/licenses/by/3.0/,rheins / Wikimedia Commons / CC BY 3.0,4982x1812,f680df740e626ea246aded5ab5d939f649324eb33c4a08254122b6954728d73f,2026-07-14T08:36:59Z,文明长卷/环境切片,2011年7月拍摄；只能说明红山文化分布大区的自然环境参照；不得称作史前原貌,01_open_license/maps_environment_methods/environment/MAP_ENV_002_Dali_Nur_Lake_Shore.jpg,05_web_ready/maps_environment_methods/environment/MAP_ENV_002_Dali_Nur_Lake_Shore.webp
